Item ID,Item Name,High (Sell),High Volume,Low (Buy),Low Volume,5-Minute Average High Price,ROI,Potential Profit,Price Fluctuation,Buy Limit
2,Cannonball,177.21,115094,170,17804,179,0.04027932960893859,7.210000000000008,0.9999999999999956,11000
62,Maple longbow (u),91.08,2400,87,4712,92,0.044347826086956504,4.079999999999998,1.000000000000002,10000
91,Guam potion (unf),385.11,201,349,597,389,0.092827763496144,36.110000000000014,0.9999999999999966,10000
221,Eye of newt,2.97,507,2,3982,3,0.3233333333333334,0.9700000000000002,0.9999999999999934,13000
229,Vial,1.98,121,1,1809,2,0.49,0.98,1.0000000000000009,13000
313,Fishing bait,4.95,3001,3,114454,5,0.39,1.9500000000000002,0.9999999999999963,8000
314,Feather,2.97,73910,1,132626,3,0.6566666666666667,1.9700000000000002,0.9999999999999934,30000
329,Salmon,75.24,907,73,462,76,0.02947368421052625,2.239999999999995,1.0000000000000069,6000
377,Raw lobster,101.97,440,98,3213,103,0.03854368932038834,3.969999999999999,1.000000000000001,15000
440,Iron ore,120.78,2000,117,11050,122,0.030983606557377058,3.780000000000001,0.9999999999999991,13000
554,Fire rune,5.94,109313,4,67409,6,0.3233333333333334,1.9400000000000004,0.9999999999999934,50000
555,Water rune,5.94,51789,4,94635,6,0.3233333333333334,1.9400000000000004,0.9999999999999934,50000
556,Air rune,5.94,10354,4,74843,6,0.3233333333333334,1.9400000000000004,0.9999999999999934,50000
557,Earth rune,4.95,36901,3,881,5,0.39,1.9500000000000002,0.9999999999999963,50000
558,Mind rune,2.97,22576,1,1122,3,0.6566666666666667,1.9700000000000002,0.9999999999999934,18000
561,Nature rune,141.57,44719,135,381583,143,0.045944055944055893,6.569999999999993,1.0000000000000047,18000
808,Steel dart,3.96,8000,3,1000,4,0.24,0.96,1.0000000000000009,7000
809,Mithril dart,6.93,13811,6,5567,7,0.1328571428571428,0.9299999999999997,1.000000000000004,7000
810,Adamant dart,20.79,22099,19,24957,21,0.0852380952380952,1.7899999999999991,1.000000000000004,11000
830,Rune javelin,169.29,491,163,726,171,0.036783625730994106,6.289999999999992,1.0000000000000047,11000
882,Bronze arrow,2.97,6911,1,2732,3,0.6566666666666667,1.9700000000000002,0.9999999999999934,7000
884,Iron arrow,7.92,23219,5,3469,8,0.365,2.92,1.0000000000000009,7000
